Time (Ma),CO2 ppm max,CO2ppm min,T C max,T C min,Tavg
0,521.5144838,167.0757122,16.18523668,12.36582387,14.27553028
-1,518.568234,162.9656249,16.76547084,12.90074611,14.83310848
-2,516.286024,159.1680647,17.3161828,13.40788709,15.36203495
-3,514.7073217,155.6859369,17.83757961,13.88649589,15.86203775
-4,513.8789744,152.5223035,18.3298972,14.33589531,16.33289625
-5,513.8514628,149.679752,18.79339323,14.75553893,16.77446608
-6,514.6761144,147.1603083,19.22834218,15.14505035,17.18669627
-7,516.4032741,144.9655227,19.63503086,15.50423053,17.56963069
-8,519.0812452,143.0966465,20.01375263,15.83296434,17.92335849
-9,522.7551326,141.554857,20.36479803,16.13120426,18.24800115
-10,527.4650988,140.3415213,20.68843873,16.39899889,18.54371881
-11,533.2442362,139.4584435,20.98490046,16.63652531,18.81071289
-12,540.1163753,138.9081683,21.2543178,16.84412017,19.04921899
-13,548.0935861,138.6940257,21.49665757,17.02232044,19.259489
-14,557.1723562,138.8195896,21.71159158,17.17187127,19.44173142
-15,567.3270394,139.28754,21.89828095,17.29357384,19.5959274
-16,578.4996271,140.0978496,22.05495515,17.38758898,19.72127206
-17,590.5838288,141.2447087,22.17852891,17.45074819,19.81463855
-18,603.4004945,142.7106797,22.26680698,17.46943744,19.86812221
-19,616.6740248,144.4565873,22.33778899,17.37935121,19.8585701
-20,630.1063054,146.4146069,22.38739304,17.24236172,19.81487738
-21,644.0112594,148.5437558,22.41515178,17.0666571,19.74090444
-22,665.6474642,149.8638587,22.42004096,16.85863419,19.63933758
-23,692.4607005,152.0058943,22.40122722,16.62323494,19.51223108
-24,724.0299419,155.1623876,22.36001045,16.36599473,19.36300259
-25,759.5273143,159.5208499,22.30106113,16.09689529,19.19897821
-26,797.8969289,165.2637009,22.23249485,15.8342559,19.03337538
-27,837.9940682,172.5657431,22.16520391,15.60078108,18.8829925
-28,878.6330825,181.5955066,22.11176302,15.41897975,18.76537138
-29,918.6626908,192.5290301,22.08497315,15.30815974,18.69656644
-30,957.0485313,205.5856068,22.096297,15.28192144,18.68910922
-31,992.9215492,220.9954336,22.15446446,15.34616112,18.75031279
-32,1025.601112,238.9258915,22.2650084,15.49879939,18.8819039
-33,1054.621713,259.4260929,22.43047973,15.73128202,19.08088088
-34,1080.056947,282.3934276,22.65152261,16.03127101,19.34139681
-35,1103.116753,307.5513896,22.92718649,16.38621221,19.65669935
-36,1125.298616,334.4663521,23.25530271,16.78226788,20.01878529
-37,1147.692158,362.6155513,23.6324708,17.20385133,20.41816106
-38,1170.712081,391.3658458,24.05369295,17.63500186,20.8443474
-39,1194.138396,419.9081531,24.5123081,18.06004708,21.28617759
-40,1217.306363,447.2143262,25.00068781,18.4650878,21.73288781
-41,1239.243163,472.1078419,25.51040549,18.83844356,22.17442452
-42,1258.741979,493.4128249,26.03105195,19.16986976,22.60046085
-43,1274.508243,510.1169404,26.54952407,19.45036764,22.99994586
-44,1285.289723,521.4712205,27.05004859,19.67279139,23.36141999
-45,1289.922979,527.0276271,27.51471175,19.8327665,23.67373913
-46,1287.341118,526.6361981,27.92474129,19.92898313,23.92686221
-47,1276.843054,520.4256582,28.26335465,19.96301165,24.11318315
-48,1258.386748,508.7677483,28.51847994,19.93890098,24.22869046
-49,1232.63564,492.2249619,28.6842829,19.8628421,24.2735625
-50,1200.810968,471.4783955,28.76136774,19.74274466,24.2520562
-51,1164.389998,447.2475654,28.75581761,19.58751805,24.17166783
-52,1124.709012,420.2239922,28.67704737,19.40624848,24.04164792
-53,1082.650524,391.0301075,28.5353855,19.20723004,23.87130777
-54,1038.594173,360.2302198,28.34038626,18.99680635,23.66859631
-55,992.7245687,328.3863076,28.10040927,18.77833393,23.4393716
-56,945.6179651,296.1092439,27.82267913,18.55157876,23.18712894
-57,898.7281121,264.098333,27.51303151,18.31297753,22.91300452
-58,854.3646881,233.1454808,27.17605119,18.05745229,22.61675174
-59,814.9620607,204.0888063,26.81714472,17.78119786,22.29917129
-60,782.4605153,177.762516,26.44295582,17.48346408,21.96320995
-61,758.2036961,154.924308,26.06136125,17.16700552,21.61418339
-62,743.246518,136.1802885,25.68177706,16.83770113,21.25973909
-63,738.4404207,121.9354545,25.31521039,16.50484332,20.91002685
-64,744.4086728,112.3935955,24.9740532,16.18166964,20.57786142
-65,761.5577845,107.5952233,24.6708024,15.88442909,20.27761575
-66,789.9616855,107.4412574,24.41631702,15.63060265,20.02345984
-67,829.1645673,111.7223137,24.220206,15.43704909,19.82862755
-68,878.0630817,120.149606,24.09333447,15.31841119,19.70587283
-69,934.9765783,132.3737549,24.04927513,15.28606426,19.6676697
-70,997.824669,147.9819602,24.10456431,15.34786817,19.72621624
-71,1064.415819,166.4670027,24.27743748,15.50853094,19.89298421
-72,1132.811868,187.2594011,24.58578944,15.76984007,20.17781475
-73,1201.649773,209.7945722,25.04479684,16.13061976,20.5877083
-74,1270.227864,233.5633527,25.66532631,16.5866326,21.12597946
-75,1338.113265,258.1196308,26.45301679,17.13077299,21.79189489
-76,1404.359157,283.0270012,27.40739669,17.75365961,22.58052815
-77,1468.029429,307.7772853,28.52069206,18.44474062,23.48271634
-78,1528.504348,331.6889785,29.77689155,19.19323142,24.48506148
-79,1585.486648,353.9305543,31.15234795,19.98793021,25.57013908
-80,1638.934267,373.6510345,32.61705459,20.81708528,26.71706994
-81,1688.969807,390.1461754,34.13668156,21.66836671,27.90252413
-82,1735.842767,402.9600274,35.67540665,22.52760617,29.10150641
-83,1779.833822,411.9389989,37.19888455,23.37777596,30.28833026
-84,1821.09959,417.2161556,38.67557353,24.19892879,31.43725116
-85,1859.588002,419.1733796,40.07682182,24.96888798,32.5228549
-86,1895.128788,418.4106718,41.37600165,25.66442907,33.52021536
-87,1927.633876,415.7188253,42.54768149,26.2627363,34.40520889
-88,1957.117816,412.0006718,43.56752579,26.74205726,35.15479153
-89,1983.670623,408.1649882,44.41276199,27.07991953,35.74634076
-90,2007.511258,405.0352248,45.06483006,27.25311885,36.15897446
-91,2029.045351,403.290665,45.51332797,27.24108017,36.37720407
-92,2048.914846,403.4462355,45.75935522,27.029887,36.39462111
-93,2068.036909,405.851394,45.81636821,26.61709529,36.21673175
-94,2087.570701,410.7061717,45.70863921,26.01689742,35.86276831
-95,2108.793943,418.0818502,45.46840254,25.25627872,35.36234063
-96,2132.907204,427.9289185,45.13264287,24.37007211,34.75135749
-97,2160.817788,440.076167,44.73971379,23.39714838,34.06843108
-98,2192.932101,454.231105,44.32522917,22.37766672,33.35144794
-99,2229.053313,469.9897106,43.91836331,21.35111749,32.6347404
-100,2268.469874,486.856564,43.5394918,20.35439686,31.94694433
-101,2310.021097,504.2606615,43.19913136,19.41990829,31.30951982
-102,2352.18489,521.5745296,42.89931153,18.57480665,30.73705909
-103,2393.269886,538.1562498,42.63724765,17.83812748,30.23768757
-104,2431.631285,553.4050423,42.40820246,17.21592561,29.81206404
-105,2465.800445,566.8007706,42.20642127,16.7103675,29.45839438
-106,2494.500376,577.9149278,42.0257469,16.32652112,29.17613401
-107,2516.707839,586.4374117,41.85978878,16.07399301,28.96689089
-108,2531.744098,592.2063548,41.7018598,15.96367498,28.83276739
-109,2539.329486,595.2221546,41.5448095,16.0026305,28.77372
-110,2539.575314,595.6430511,41.3808304,16.18978161,28.785306
-111,2532.918935,593.792328,41.20144117,16.51361389,28.85752753
-112,2520.025225,590.1353285,40.99770737,16.95229122,28.97499929
-113,2501.662099,585.2191613,40.76071778,17.47631298,29.11851538
-114,2478.584611,579.5883533,40.48245188,18.05161079,29.26703134
-115,2451.47714,573.7039637,40.15686275,18.64309666,29.39997971
-116,2420.921066,567.8935465,39.78081067,19.21900301,29.49990684
-117,2387.402463,562.3478043,39.35419535,19.75414186,29.55416861
-118,2351.371735,557.1186417,38.88001858,20.23132568,29.55567213
-119,2313.305557,552.1314716,38.36481984,20.64226212,29.50354098
-120,2273.746388,547.232928,37.81857778,20.98740002,29.4029889
-121,2233.316099,542.2464451,37.25363844,21.27387106,29.26375475
-122,2192.690718,537.0223898,36.68516879,21.51119125,29.09818002
-123,2152.527948,531.4659867,36.13334496,21.7043312,28.91883808
-124,2113.412774,525.5280024,35.61451369,21.84882051,28.7316671
